x,y,theta
0,0,0
0.0300001,0,0
0.0600001,0,0
0.0900002,0,0
0.12,0,0
0.15,0,0
0.180001,0,0
0.210001,0,0
0.240001,0,0
0.270001,0,0
0.300001,0,0
0.330001,0,0
0.360001,0,0
0.390001,0,0
0.420001,0,0
0.450001,0,0
0.480001,0,0
0.510001,0,0
0.540001,0,0
0.570001,0,0
0.600001,0,0
0.630001,0,0
0.660001,0,0
0.69,0,0
0.72,0,0
0.75,0,0
0.78,0,0
0.81,0,0
0.84,0,0
0.869999,0,0
0.899999,0,0
0.929999,0,0
0.959999,0,0
0.989999,0,0
1.02,0,0
1.05,0,0
1.08,0,0
1.11,0,0
1.14,0,0
1.17,0,0
1.2,0,0
1.23,0,0
1.26,0,0
1.29,0,0
1.32,0,0
1.35,0,0
1.38,0,0
1.41,0,0
1.44,0,0
1.47,0,0
1.5,0,0
1.53,0,0
1.56,0,0
1.59,0,0
1.62,0,0
1.65,0,0
1.68,0,0
1.71,0,0
1.74,0,0
1.77,0,-0.02
1.8,-0.000599959,-0.04
1.82997,-0.00179964,-0.06
1.85992,-0.00359856,-0.08
1.88982,-0.005996,-0.1
1.91967,-0.008991,-0.12
1.94946,-0.0125824,-0.14
1.97916,-0.0167687,-0.16
2.00878,-0.0215482,-0.18
2.0383,-0.0269191,-0.2
2.0677,-0.0328792,-0.22
2.09697,-0.0394261,-0.24
2.12611,-0.0465571,-0.26
2.15511,-0.0542696,-0.28
2.18394,-0.0625602,-0.3
2.2126,-0.0714258,-0.32
2.24108,-0.0808628,-0.34
2.26936,-0.0908675,-0.36
2.29743,-0.101436,-0.38
2.32529,-0.112563,-0.4
2.35293,-0.124246,-0.42
2.38032,-0.136479,-0.44
2.40746,-0.149257,-0.46
2.43434,-0.162575,-0.48
2.46095,-0.176429,-0.5
2.48728,-0.190812,-0.52
2.51332,-0.205718,-0.54
2.53905,-0.221142,-0.52
2.56508,-0.236048,-0.54
2.59081,-0.251472,-0.52
2.61685,-0.266379,-0.54
2.64258,-0.281803,-0.52
2.66861,-0.296709,-0.54
2.69434,-0.312133,-0.52
2.72038,-0.32704,-0.54
2.74611,-0.342464,-0.52
2.77214,-0.35737,-0.54
2.79788,-0.372794,-0.52
2.82391,-0.387701,-0.54
2.84964,-0.403125,-0.52
